anchor,positive,hard_negative
Camotri 750mg,Hecef 1000,Camotri S 500mg/250mg
Avitacef 200 DT,Adifixim 50mg Dry,Avitaspas-M
Unizone 1000mg,Ulicef 250mg,Unizone S 1000mg/500mg
Felodol-SP,Aceprime-P,Spasmotos 10mg/500mg
Viflox TZ 200mg/600mg,Welderm,Viflox OZ 200mg/500mg
Supracof D,Corituss,Supra 20mg
Combipara TR,Sailon P 100mg/325mg,Combitide 500 Octacaps
Nvixo 1000,Opticef 250mg,Vanco Plus 1000 mg/500 mg
Cefzit 200mg,Vivocef 100mg,Cefzit 500
Acceclowoc 100mg,Hifenac SR,Acceclomax-MR
Actin P 100mg/325mg,Ciclogen-MR,Actinin O 20mg Soft Gelatin
Ritecef-O 100 Dry,Cefaclass 100mg,Numexim-O
Febrex Plus Oral,Coldase,Febrex 500mg
Avidic-MR,Trofen Plus,Avidip M 5mg/2.5mg
Sayofen Plus 100mg/500mg,Dinal-AP 100mg/500mg,Sayoflox-TZ 200mg/600mg
Zimix SL 1000mg/500mg,Livzone S 250mg/125mg,Zimix-LB
ALFABOSE 0.2 MG,Vybex 0.2mg,Alfabin 150mg
Fergesic-MR,Stangesic MR,Fergesic
Contra,AB2,Contromax M
Emvon,Wondcet 2mg,Diocid O 4mg/10mg
Cifiwell 200mg,Omnapil 200mg,Cifiwell O LB 200mg/200mg
Tyfy 125mg,Kelvinil DS 250mg,Histacare New
Acedo Plus,Litonac P 100mg/325mg,Hifezol
Moxyrax 250,Lactomox,Moxyril-CV 500mg/125mg
Acycov P,Resoflam,Acycop 200mg
Clopex-GM,Zefeel-GM,Cortico AL
Acewis 100mg/325mg,Aranac P 100mg/325mg,Acewis 200mg
Gemset NV 1000,Xtroz 1gm,Gemita 1400mg/87.5mg
Rabekap IT 20mg/150mg,Rabsi IT 20mg/150mg,Rabekap D 30mg/20mg
Frutogesic-MD,Enim,Nimdad Forte MR
Nimford 100mg,Pronim 50mg,Nimford 100mg/325mg
Logidec-S,Acfast D 50 mg/10 mg,Nicip D 50 mg/100 mg
Klaxone S 500mg/250mg,Citrox S 1000mg/500mg,Klaxone 250mg
Azido 500 LB,Amozith 250,Azido 250mg
Rabb IT 20mg/150mg,Rabble IT 20mg/150mg,Rabbi L 75mg/20mg
Acerica Plus 100mg/325mg,Acecare-SP,Lampa
Viknac AC 100 mg/500 mg,Acloday-MR,Viknac Plus 50 mg/500 mg
Tofuran,Infibact 100mg,Tofurox 500
Pyrexil 650,Hydol 650mg,Chest Kold
Rozadin Plus 100 mg/500 mg,Molsha-P,Rozadin 100mg/2mg
Edoclof 200mg,Bioac 200 SR,Edoclav 500mg/125mg
Monceclo 100mg,Dolochek 200mg,Acenate P 100mg/325mg
Seftriax 500mg,Tredzone 250mg,Seftrio-SB
Syocef 500,Ceftonox 1000mg,Syocef S 250mg/125mg
HH Linctus Junior Syrup Alcohol Free,Borkuf BR,HH Linctus-LS Expectorant
Sioxime 50mg,Brutacef-DS Dry Syrup Pineapple,Sioxime 200mg
CEFI T 1000 MG/125 MG,Gefemax 1000 mg/125 mg,Cefitoss CV Dry
Ceptamol-IV,Crocemol 650mg,Ceptamol-AS
Stemetil MD,Nausetil 12.5mg,Stemec G 300mg/750mcg
Modgesic P 100mg/325mg,Nopin 100mg/325mg,Nichem Plus 100mg/500mg
Quix 100mg,Ziprax 50mg Dry,Quix 1000mg
Glenfenac-SP Forte,Indard-P,Glenfine M 10mg/180mg
Mathidol 200mg,Otraflam 200mg,Mathiflox 500mg
Sudase D 50mg/10mg,Activa S 50mg/10mg,Dac Flamon
Vomalthea 4mg,Onstart,Racidom O
Wikoryl 10,Elzico Plus Oral,Wikoryl L
Melzorg,Cutilite,Stinokare
Norvent-D Cough,Edzex,Norvelzo 3.5mg
Ondanes,Vomizen 4mg,Sizfire O 4mg/20mg
Tpcral O,Elfate-O,Tpcral
Bonecef 250mg,Spaxone 1000mg,Elores 3000mg
Cencef 250mg,Cefmac 2000mg,Cencex P 100mg/325mg
Aim 50mg Dry,Evicef Oral,Aim 500mg
Cefcon 50mg,Cifizime 50mg,Sefnix 100 LB
Rimycold,Lewban,Rimycold 0.1%
Glimoglip 20mg,Tenenorm 20,Glimoris M Forte 1mg/1000mg
Sofixim 100mg Dry,Nayafix 100mg,C Tax-O XL
Aelxim 100mg,Codxim 200mg,Aelxim 50 LB Dry
Meftamol-P,Moltas M 250mg/325mg,Meftal-P
Bruiser S 500mg/250mg,Ethyricef S 1000mg/500mg,Bruiser 250mg
Nilfla D 50mg/10mg,Diwot-S 50mg/15mg,Nicip D 50 mg/100 mg
Trusten O 100mg,Cefiplex 200mg,Trust Miso
Delcef 100mg,Virexim 200mg,Delcef AZ 200mg/250mg
Nimeter 100mg,Nimkav 100mg,Nimetic Plus
Axiron 1gm,Anocef 500mg,XL V 2000 mg/1000 mg
Rebarc-IT,Rabsar-IT,Rebarc
Medomol 500mg,Pacimol DS,Medomac 10mg
Lofen SP 50mg/10mg,Bioron D 50mg/10mg,Lofen P
Nkcef S 1000mg/500mg,Safenam S 1000mg/500mg,Nkcef 1000mg
Acebid 100mg,Xnac,Ace Bio 100 mg/500 mg
Loscad H 50mg/12.5mg,Angizaar-H,Hydrazide 12.5
Icobit P 100mg/325mg,Freeflam,Icobit MR 100mg
Acedic DS 50mg/10mg,Zovifast S 50mg/10mg,Acedip
Bio Megaflam 50 mg/10 mg,Diclones-S 50mg/10mg,Biomega Oral
Crocef 100mg Dry,Ceraf 50mg Dry,Maxim OF 200mg/200mg
Zofixi Dry,Cefiglen 50mg,Sefnix 100 LB
Genericart Teneligliptin 20mg,Tenamit 20,Genericart Glimepiride 3mg
Simcef 500mg,Grandcef 1000mg,Simcef-SB 250mg/125mg
DX Trox SB 1000mg/500mg,Nabitax S 1000mg/500mg,DX-Trox 500
Cefla Dry,Fixbase 200,Ceflac XP
Rylofenac 200mg,Acutiva-SR,Rylofenac TH 100mg/4mg
Bruiser 250mg,Eoceft 500mg,Bruiser S 1000mg/500mg
Macfast 500,Pacimol 650,Anadom 10mg/500mg
Nanogesic Plus,Mexamef P DS,Vdrot-M
Seralyse D 50mg/10mg,SN 15,Serallit-D
Zyltan H 50 mg/12.5 mg,Losagan H 50mg/12.5mg,Zyltan 25
Acorzone 500mg,Ceftolex 500mg,Acorzone-S
Junipar Plus,Tonac-SP,Junipar 650mg
Xonstar S 1000mg/500mg,Ceftrec S 1000mg/500mg,Xonstar 250mg
Zimnex DS 100mg Dry,Varncef 100mg,Zimnex CV 200mg/125mg
Lymol,Thermaset 650mg,Prestigesic
Every-Koff DX,Flusam Plus,Carbamal
Zoftax O 100mg,Carefix 200mg,Zoftax O CV 200mg/125mg
Tromacef SB 1000mg/500mg,Warine S 1000mg/500mg,Linser S 600mg/150mg
Maltob,Mefmol-P,Maltolan 5mg
Nazoset-DS Oral Suspension Strawberry,Kuffgon-PH,Nazoset-P
MyVobo 0.2mg,Voglitel 0.3mg,MyVobo 0.3 M
Cefrock 1gm,Qxone 1gm,Licezon-TZ 1.125
Moviz 3D,Spase P 100mg/325mg,Moviz 100mg
Retamol 1000mg,Paarmol 125mg/5ml,Retam 250mg
Remaclo P 100mg/325mg,Zemonec SP,Remac
Ridpath 250mg,Xoneden 500mg,Ridpath-S
Cefcube-S 1.5,N Zone S 1000mg/500mg,Inpenm-S 1.5gm
S Cef 250 mg/125 mg,Cefaxo-S,S Cef 250mg
Megamol DS 250mg,Finamac 1000mg,Fortagesic
Comtrix L,Bezolid CF 200mg/600mg,Comtrix 1000mg
Mefson Forte,Jenospas P,Mefson 100mg
Figonil 250mg,Velmol 650mg,Figonil-M DS
Locas H 50mg/12.5mg,Los HZ 50mg/12.5mg,Locas 50mg
Casacef SB 1000mg/500mg,Ceftrica S 1000 mg/500 mg,Casacold
Jasloc P 100mg/325mg,Kasodol,Jasloside 100mg/4mg
Yuvicold,Nazovea-DS,Yuviclav 1000mg/200mg
DavaIndia Metoprolol Succinate+Ramipril 25mg/2.5mg,Remipride Meto,DavaIndia Atorvastatin+Clopidogrel 10mg/75mg
Sanocet-TP,Edoclof-P,Sanocip 250mg
Ticocef S 250mg/125mg,Morexone S 250mg/125mg,Ticocin 400
Acelro P,Flamace,Doloforce Plus
Dayceft S 1000mg/500mg,Odicef S 1000mg/500mg,Dayceft 250mg
Emlide 1000mg,Day 650mg,Emlide 100mg/325mg
Lorfast Meltab,Rapidine 10mg,Lorfast MT
Yevozen 1000mg,Cefvive 1,Yevozen 50mg Dry
Raxi 1.5,Deloceft S 250mg/125mg,Raxi 1000mg
Sehcef 50mg Dry,Ropcef 100mg,Sehcef 200mg
M2 Cef 200mg,Serchcef 200mg,M2-Cef-S 375
Arfast P 100mg/325mg,Aconix-JR,SB-Cold-P
Aflamim Forte,Cyclonac-P,Iramol TZ 100mg/2mg
Glue Fix Dry,Itcef 200mg,Monarquin Plus
StayHappi Aceclofenac+Paracetamol/Acetaminophen 100mg/325mg,Acloboot Plus 100mg/325mg,StayHappi Glimepiride+Metformin 2mg/1000mg
Advan-THF,Keroquin,Advance Tear
Restoheal,Arylace-ASP,Restoderm Plus
Novo 2mg Oral,Vomisoz 4mg,Novo 200mg
Klokcef 1000mg,Xari 500mg,Cefaks 1000mg/500mg
Gausebact SB 1000mg/500mg,Eceft-SB 750,Gausebact 1000mg
Emetil 100mg,Largactil 10mg,Emetil Plus 100 mg/2 mg
Xilim 100,Cerfix 100mg,Xilim O 200mg/200mg
Sinulin P Oral,Lenkold DS,Sinulin Oral
Acewel 100mg,Nactamol-200 SR,Acewell R 200mg/20mg
Healap 100mg/325mg,Acemak P 100mg/500mg,Healace
Lupisulide,Nimuspa 100mg,Lupisulide P 100mg/500mg
Tagnor 1000mg,Rangecef 1000mg,Tagnor S 1000mg/500mg
Emeran 4mg,Emefast 4mg,Oxipan O 40mg/4mg
Sermax D 50mg/10mg,Gaddy S 50mg/10mg,Sermax 10mg
Junicef-S 250mg/125mg,Cefaster-S 1.5gm,Junicef T 250mg/31.25mg
Nutraflam,Asprox-SP,Peale
Hansimol 125mg,Symol 650mg,Hansimox CV 500mg/125mg
Mefpra,Meftec P 250mg/500mg,Emvon Plus
Tamonac 200mg,Davceclo 200mg,Tamonac-P 100mg/325mg
Zestocef 200mg,Kwikcef 100mg Dry,Milixim-M 400mg/400mg
Paronix-P,Aceclomax-MR,Delupa TH 200 mg/8 mg
Cefly O Dry,Zefikay 50mg Dry,Sefnix 100 LB
X Flame P 100mg/325mg,Vinac-P,X Flame 75mg
Chlorpromazine Hydrochloride,Sun Prazin 25mg,Chloromycetin 900mg
Rocurofix,Esmeron 100mg,Rocurex 10mg
Onace 4mg,O M T 4mg,P Gest O
Agicef 100mg,Draticef 200mg,Agicef 250mg
Mofilet 500,Mycept 750mg,Mofilet S 180
Paceross 650mg,Betagesic SR 1000mg,Pacer MR
Calicef SB 1000 mg/500 mg,FORMIC 500MG/250MG,Calicef 1000mg
B-Kill 200DT,Biotax-O 200mg,G Xime OZ 200mg/500mg
Cifimark 100mg Dry,Span 100mg,Milixim-M 400mg/400mg
Multixone 1gm,Cezimed 1000mg,Multinorm
Integ MR,Blofen MR,Integrol P 37.5mg/325mg
Yevon 2mg,Ondwell-MD,Yevonem 1000mg
Ceknac Plus,Mahafen-MR,Ceknac TH 100mg/4mg
Rexol 650mg,Pyrigesic,Rexol MF
Rejulip-SP,Aceclogip-Plus,Rejulox
Affix 50mg Dry,Seftica 50mg,Affixocold
Cefem 200mg,NT Cef 50mg,Cefemel OZ 200mg/200mg
Luwes,Hyclean TF,Tricute MH
Kyocef-SB 1000mg/500mg,Basicef S 1000mg/500mg,Kyocef Dry
Benimol MF,Mefcox Plus 500mg/325mg,Benimox 250
Novoplus,Dolospark 100mg/325mg,Novo P 10mg/10mg
Evamix ET 250mg/250mg,Tranac E 250mg/250mg,Evamix-MF
Tora 100mg/500mg,Capaldo-MR,Tora 10mg
Cocef 100mg,Zeefix 50mg Dry,Cocef O 200mg/200mg
Voglam 0.3mg,Zuvog 0.2,Voglase M 500 mg/0.2 mg
Troyset 2mg,Ondaco N 2mg,Troysunate 50mg
Rutocef 1000mg,Ozicef 250mg,Rutocef S 1000mg/500mg
Ketorax 0.5%,Ketofon,Ketorax 2%
Jaycef 500mg,Seprix 250,Jaycef SB 250mg/125mg
Trifix 50mg,C TAX-O 400MG,Trifix 200
Warnac-P,Sitnac P,Warnac S 100mg/15mg
Erase-D 50mg/10mg,Medizen D 50 mg/10 mg,Erasewax
Shancyte 1gm,Gemibine 1000mg,Shanclox 250mg/250mg
Hicef 200 Dry,Cefiante 200mg,Hicef 200mg
Doff S,Diclosia S 50mg/10mg,Doff SP
Fludin 500mg,Kucil 250mg,Fludif 150mg
Abnik P,Bextrin P 100mg/325mg,Abnik TH 100mg/4mg
Feonax-CZ,Doloflex-TZ,Feonax TH 100mg/4mg
Aconmef P,Mefzen-DS,Aconmyth Plus
Nutracef 50mg Dry,Orpicef 50mg Dry,Nutralize D 30mg/20mg
Thiocor,Med Rest,Thioceclo 200mg/16mg
Resolve AP,Acizen P 100mg/325mg,Resolve 10mg
Raxophin-S,Triao SB 250mg/125mg,Sulbapod 200mg/150mg
Tanfix 100mg Dry,Velaxim Dry,Tanfix-AZ 200mg/500mg
Gucef 500mg,Medocid 1000mg,Gucef S 500mg/250mg
Miltrex 1000mg,Ronixone 250mg,Vanco Plus 1000 mg/500 mg
Acklofen 200mg,Assert-SR,Cartiflex 100 mg/50 mg
Rabtry IT 20mg/150mg,Rastik-IT,Rabtry LS 75mg/20mg
Jaducef 1000mg,Opicef 1000mg,Jaducef TZ 500mg/62.5mg
Acepar Plus 100mg/500mg,Acion P,Acute PG 200mg/75mg
Bafix 100mg,Bacitrob 100mg,Fycef D 200mg/500mg
Oxalic CT 200mg/600mg,Oxo TZ 200mg/600mg,Oxalic 400mg
Hinex S 250mg/125mg,Tromacef SB 500mg/250mg,Hinex 500mg
Atpera 500,Emol,Atpera N 100mg/325mg
Aclopride P 100 mg/500 mg,Abate,Relaxone Plus
Provog 0.2mg,Metlibose 0.3mg,Provonol-F
Actoflam 100mg,Acezol 200mg,Actoflox OR
Europar 500mg,Pyrifast 250mg,Europod 100mg
Shermef-P,Neomef-P,Shermox-CV Dry
Tifix 100mg,Bacitrob 50mg,Monarquin Plus
Nastro,COSAVIL FLU,Nastron 200mg Soft Gelatin
Hgcef S 1000mg/500mg,Zepodox S 1000 mg/500 mg,HG Cef 1000mg
Myclob M,Rovate-GM Neo,Myclor 100mg
Zifcas 200mg,Glacef 100 Dry Syrup Mango,Zifcas O
Hydride 25mg,Hyzide 25mg,Hydrip
Aldrex Plus,Clentus D,Aldrem C
Cefitron 250mg,Avzone 250mg,Cefitril CV 200mg/125mg
Estac SP,Rumatin P 100 mg/500 mg,Lacomb 400mg/325mg
Laxocef 50mg Dry,V Cefi 200mg,Ekofix AZ 200mg/250mg
Entimate 0.5,Frithvir 0.5mg,Entimin 4mg/10mg
Flucirup,Supko D,Flucide 150mg
Zutex 1gm,Locef 1000mg,Zutex-T 1000mg/125mg
SX One 2000mg,Bactopace 1000mg,Axitrix V 1000mg/500mg
Nisul 50mg,Nimuspa 100mg,Nisul S
Ceftizone 500mg,Vyosef 1gm,Ceftizone 500 mg/62.5 mg
Cinxim 100mg,Incef 200mg,Cinxim O 200mg/200mg
Xeef 200mg,Cefyus 200 DT,Zifi Lbx Neo
Redflex 100mg/325mg,Alif P 100mg/500mg,Redflox OZ 200mg/500mg
Exsancef 200mg,Aramis 100mg,Cefiwel AZ 200mg/250mg
Samzone 1000mg,Onetrix 500mg,Samzone S 250mg/125mg
Nobarf Disintegrating Strip,Tydem 4mg,Tiron 4mg/150mg
Enfrio,Nosicure Plus,Coscopin Linctus
Lorsun 10mg,DavaIndia Loratadine 10mg,Lorsun P 4 mg/500 mg
Zerox-SM 250mg/125mg,Wellcef S 250mg/125mg,Zerox 100mg
Onace 2mg,Vomito,Onace 100mg
Allizone SB 250mg/125mg,Ethizone S 250mg/125mg,Allizone 250mg
Zypzone 1000mg,Ceftriobiotic 1000mg,Zypzone SB 1000mg/500mg
Oncia 4mg,Vemron MD 2mg Oral,Oxirab O 4mg/20mg
Cefview 100mg,Ambrofix 200mg,C Tax-O XL 200
Yuvicef 1000mg,Radicef 500mg,Yuvicef 100mg
Lametec 25 DT,Lamiace 100mg,Lam ET 0.5mg
Unpreg Tablet Combikit,Vinmis 200mg/200mcg,Mesopil 200mcg
Molphyn 250,Pyrinil Forte 250mg,Molphyn M DS
Acera IT 20 mg/150 mg,Rabsar-IT,Aceraise 200mg
Shipib O,Sft-O Oral Suspension Sugar Free,Shipip-T
Supragesic SP,Adifine-SP,Suprabenz 0.25mg
Contrapill 200 mg/200 mcg,Mtprost,Safeguard 50
Lotic 10mg,Lorapil 10mg,Lotica
Belocold,Anicold,Beloc Plus 0.25mg/20mg
Acidowipe,Suclate O,Acidopar 10mg
Ayufen 100mg/325mg,Acedan-P,Ayufen Dry
Maxim 200mg,Iofix,Maximizin 500mg/125mg
Jemnac Oral Suspension Mango,Aclowin 100mg/500mg,Jemnac-T 4
Mefioer-P,Mefisat-P,Mefioer 100mg
Monceclo 200mg,Nabiges 200mg,Moncef S 1000mg/500mg
Vancowar CP 500mg,Vanacin CP 1gm,XL V 2000 mg/1000 mg
Tromacef SB 250mg/125mg,Cefriv S 1000mg/500mg,Tromarax P 50mg/325mg
Tabrol,Keno 200mg,Adprim S
Dorgesic Plus 50mg/10mg,Spnfast-S,Superspas
Zefocef 100 DT,Taxwin O 100mg,Zefocef 200 LB
Clovcef 1000mg,Vanicef 1gm,Clovcef CS 1000mg/500mg
Vanconis 500mg,Vancofast 1000mg,Vanco Plus 2000 mg/1000 mg
Algin 100 mg/500 mg,Hazchem P,Algineuron 75mg/10mg
Azpar 100mg/325mg,Acezon P 100mg/325mg,Azpar-TX 4
C Tri 1000mg,Triox 1000,Elores 2000mg
Parawal 500mg,Pandol 125mg,Parawel M 100mg/250mg
Calpol 250mg,Axmol 650mg,Rofinol P 25mg/500mg
Jencef 1000mg,Lefix 1000mg,Jencef 200mg
Imunocef 2000mg,Troxom 2000mg,Imunotac 1.0
Acerek P 100mg/325mg,Relanac SP,Acereen 100
Myospas F,Sydic-MR,Wellmoov
Grapzone-S,Uniceft S 250mg/125mg,Cefirone V 1000 mg/500 mg
Kefprox SB,Mednacef S 1000mg/500mg,Ipime-S 1000mg/500mg
Coldvec,Mgcold Oral,Coldvox
Molt-AC,Acebid Plus 100 mg/500 mg,Moltas 650mg
Betagesic SR 1000mg,Febrex DS 250mg/5ml,Betagain-M
Quix 500mg,Befotrik 1000mg,Quix 50mg
Traxin D Syrup Sugar Free,DC Tus,Zeet P
Oflobact TZ,Asoftin 200mg/600mg,Ofclone-FC
Xave 1gm,Medoxone 1gm,Xave 100mg
Tuslo A 100mg/325mg,Texfenac-SP,Tuslo 100mg/ml
Ceftatica 1000,Hixon 500mg,Seftriax T 1000mg/125mg
Auxipar 650mg,Macfast,Auxipred 4mg
Ondorin 4mg,Kemset 4mg,Ondorin 20mg
Dolzet-SP,Facer P 100 mg/500 mg,Dolzero 325 mg/37.5 mg
Sired P,Locet P,Sired
Ciprix 750mg,Capreo 500mg,Ciprind 500mg
Kasofix 100mg,Cefnav 100mg,Kasoflox 200mg
Caprizox,Vinac P,Capricef SS 500mg/250mg
Acigo-MR,Jusgo 100mg/325mg,Acigo 25mg
Anatryl 500mg/4mg,Fyzonim Cold,Anatrol Forte
Kapicef S 1500mg,Rajcef S 500mg/250mg,Kapiclav
Ulcer Gud,Suc O Sucralfate+Oxetacaine,Nexacaine Sugar Free
Remoten 10mg,Dize 10mg,Remot 5mg
Losafix-H,Emeelos H 50mg/12.5mg,Losafix 50
Credpar 250mg,Pyrinil Forte 250mg,Credpar M
Fagene 20mg,Femo,Diclosef 50 mg/20 mg
Win 650mg,Fibromet 250mg/5ml,Win 200mg
Fibrin D 50mg/10mg,Jsera D 50mg/10mg,Fibrispa
Koldmin-P,Stocold DS,Cyclobid CP
Cefzone 500mg,Ceftric 100mg,Cefzone 500mg/500mg
Zenim 100mg,Supernim,Zenimox-CV Dry
Flumol 100mg Oral,Paraterm,Flumol Cold N Flu
Aurodis,Seridec 50mg/10mg,Aurodec 50mg
Apache-SR,Zunac 100mg,Kraceclo-Spas
Kesroclof P,Regdol P 100mg/325mg,Aldbest-CD
Hiyaxime 200mg,Befixime 200mg,Hiyaxime CV 200mg/125mg
Nekcef S 1000mg/500mg,Epixone-SL 500mg/250mg,Nekcef 250mg
Dolour 100mg,Acenal 100mg,Dolout P 325 mg/37.5 mg
Wikoryl 325,Grilinctus Paediatric,Debura 300 mg/500 mg
Troyaxone S 1000 mg/500 mg,Medizone SB 1000mg/500mg,Troyaxone 1000mg
Frionil Plus,Credcold DS,Frion Oral
Lizobert CF 200mg/600mg,Bullfix 200mg/600mg,Lizobert 600
Amclomed SP,Acprex Plus,Amclox
Zondel 2mg/5ml,Indon 2mg,Zondel 100mg/150mg
Zerotosa-P,Hynac P 100mg/325mg,Zerotuss XP
Adcold T,Nastro,Adcold SBG
Stemetil MD,VOMITIL 5MG,Vertex Plus 650mg/5mg
Mefmyd,Kanmef P,Anafortan-MF 50mg/250mg
Dolobest OD 200mg,Starnac 100mg,Bextrin
Enzomac D 50mg/15mg,Seramax D 50mg/10mg,Enzomend-D
Truexone 1000mg,Ceftrap 500mg,Elores 2000mg
Onsh 2mg,Ubitset 4mg,P Norm R 2mg/25mg
Cefocian S 1000mg/500mg,Exocef-S,Cefocap 500
Molinac P Oral Suspension Orange,Clovenac P 100mg/325mg,Espidase P 325mg/10mg
ETM T 250mg/250mg,Hemoclot 250 mg/250 mg,Mlsma TX
Actam 1gm,Trocef,Actame 5mg
Cefhuron 500mg,Sundoxim 2000mg,Cefhuron S 1.5gm
Solvin 30mg/4mg,Oritus D Syrup New Improved,Solvin Cold AF Oral
Clobit-P,Arden A 100mg/325mg,Clobidex-S Dermal
Volfix 200mg,Bijocef 200mg,Volfix AZ 200mg/250mg
Basik Plus 100mg/500mg,Paraever-SP,Synacold
Luzipain P 100mg/325mg,Microflamp SD,Luzipam 0.5mg/10mg
Monowell-SB,Wintex S 1000mg/500mg,Monowell
Sifzone SB 1000mg/500mg,Themixon S 1000mg/500mg,Wopime-S
Cefohist,Kefprox,Cefohist-SB 1500
Kloset 2mg,Vomibull 2mg,Kloser D
Livzone 500mg,D Cef 250mg,Livzone 5mg
Zific 200mg,Cifinca 100,Zifi CV 50 Dry
Fixidif 50mg Dry,Cefspan 200,Fixidif OL 200mg/200mg
Sitdc 100mg,Lupisit 100mg,Sit DC-M 500
Mefast P,Mefago Plus,Resta 0.25 mg/500 mg
Tisma ET 250mg/250mg,Travic ET 250mg/250mg,Gluxi TX 250mg/50mg
Aecan P 100mg/500mg,Mahagesic-ACP,Agpar 125mg/5ml
Ceflaz 200mg,Escefon Duo 100mg Dry,Ceflame
Dornac SP,Fenvolk-SP,Dornac
Intogest,Ercold-DS Oral Suspension Orange,Lampa
Octace Plus,Xtraanac Plus 100 mg/650 mg,Corflam S
Canefo 200mg,Otonac 200mg,Canefo Plus 100 mg/325 mg
Ultramol 120,Inovater 500mg,Ultramol 325 mg/37.5 mg
Rohcef 100mg,Capricef 100mg,Rohcet 5mg
Meditinib 400mg,Matnib 400mg,Meditra Plus
Molmek 650,Pyrakem,Molmet 5mg/500mg
Wiser DK 50 mg/10 mg,Arofen S 50 mg/10 mg,Wiser 10mg
Eoceft 375,Abosef S 1000mg/500mg,Eoceft 1000mg
Saftim 200mg,Fax 250mg,Saftidol 37.5mg/325mg
Torspec Plus 50mg/10mg,Torlica Plus 50mg/10mg,Torspil 40mg
Ambrodil-D Junior,Sinarest CC,Allercalcin
Credcold DS,Zocvin Cold,Credcold Plus
Ferisor S 1000mg/500mg,Willxone S 250mg/125mg,Feriscot 100mg
Acufix 50mg,Cefplex-DT 100,Acufight 20mg Soft Gelatin
Cefgl 100mg,Sozim 100mg,CEFGLOBE S FORTE INJECTION 1000 MG/500 MG
Xanfix 100mg,AB Fax 50mg,Cefexy-CV 200mg/125mg
Acezen Plus 100mg/500mg,Seradic-AP,Kinoflex-MR4
Paraband 650mg,Lupicip 125mg/5ml,NEYTA 25 MG/500 MG
Chemoflura 500mg,Oncoflour 500mg,Chemodoc 80mg
Cefaster-S 1.5gm,Troyaxone S 1000 mg/500 mg,Cefastar 500mg
Zovicold,New Cetrizine-Cold,Fastorik
Mcef 100mg Dry,Cureta 50 Dry,Mcef 1000mg
Esmol 650mg,Infumol IV,Esmoleaf 40
Neurovon 30mg,Carevon 1.5mg,Neurocob-P
Gucef S 1000mg/500mg,Zeftrizal 1.5gm,Xplocef 2000 mg/1000 mg
Medivog 0.2mg,Wobose 0.3mg,Medivas 10mg
Endcef 100,Cefly O Dry,Endcef 200 LB
Magnim 100mg,Nimros 100mg,Magnix Mps
Eurepa MF 1,Reepag MF 1mg/500mg,Eurepa-V 0.5/0.3
Safe Tri 1000mg,Triglan 1000mg,Safetuss-A
Sehwin Plus,IG-Cold,Sehwin
Goodova 100,E-Ova M 100,GOODOVA PLUS 25 MG/600 MG
Cefogrip 1000mg/500mg,Jyocef-S 250mg/125mg,Cefogreat 100mg
Vizron 2mg,Keovom 4mg,Vomizen-P 40mg/4mg
Cefkan 200mg,Unitax O 200mg,Cefkan 1000mg
Gesipara-MR,Neorelax P,Emvon Plus
Cipzen-D,Serabid,Sydol Forte
Cefozyt LX 200 mg/250 mg,Spinxo LV 200mg/250mg,Cefozen Forte 1000mg/500mg
Laxef 250mg,Triax 250mg,Laxef O 200mg
Teniley 20mg,Winoglip 20mg,Tenil 50
Nowfix 200mg,Zafil 50mg Dry,Fixinox CV Dry
Moxical P 125mg,Amphy,Moxicap 500mg
Cloviz 500mg,Ancef 125mg,Axocare S 250mg/125mg
Femspas DS,Mef Para Kid,Femspas 10mg/250mg
Oset 5mg,Maxtil 5mg,Neuronit 500mg/5mg
Ventucof DM,Netkold D,ND Ppc
Canomol P 100mg/325mg,Gaglofen P,Canomite 5%
Gravcef S 500mg/250mg,Rimceft-S 250mg/125mg,Gravcef 500mg
DavaIndia Voglibose 0.3mg,Vogo 0.3,DavaIndia Levofloxacin 500mg
Colder,Spect Cold,Coldex
Demcef 1000mg,Fealxone 1000mg,Demcet L 5mg
Keycept 250mg,Bio MMF 500mg,Keycept S 360
Detron,Vomnix 2mg,Detroin 20mg
Waygesic Plus 100mg/325mg,Mover,Cypaflam Forte 400mg/500mg
Seridol Plus 50mg/10mg,Synotrip-D,Seridic 50mg
Fax TZ,Isicef 200mg,Cefnik LB
Orthobest 100mg,Zoflex 200mg,Orthocal 500mg
Acton-OR,PYRIL 650MG,Actonel 35mg
Doxoll-TL 5mg/400mg,Veez T 5mg/400mg,Terbrom G
Havday Plus 100mg/500mg,Labace-SP,Havday 100mg
Nexcef 200mg,Cefdrate Dry,Emifix CV Dry
Macfen MR,Diclorest-MR,Macfen 50mg/500mg
Nitmol M,Mefbull 50mg/125mg,Nitmol Cold
Jesgab-T,Amicobal PG 10mg/75mg,Jesgab-M
Lunafev AC 100mg/325mg,Vaxace-MR,Lunafil 1%
Liacet 1.5,Cefnil 1000mg/500mg,Liacep-CP
Axocare S 250mg/125mg,B Zone S 250mg/125mg,Axocare T 1000mg/125mg
Junipar-SP,Deck P,Junipar LX 8mg/500mg
Habitron 2mg Oral,Ondaaxx 2mg,Habitrex S 1000mg/500mg
Ioxim O Kid 50mg,Ayracef 50mg Dry,Voltaclav Dry
Onpride 2mg,Satron 2mg/5ml,Onpride 50
Fineone 2mg,Onditrax 2mg,Fineoff 200mg
Ivitax 1000mg,Bruiser 250mg,Ivitax 500mg
